khaki,#F0E68C,240,230,140,"Practicality and neutrality in fashion.,Warmth and comfort in interiors.,Versatility and adaptability in design."
olive,#808000,128,128,0,"Naturalness and earthiness in fashion.,Warmth and depth in palettes.,Versatility and reliability in design."
yellow,#FFFF00,255,255,0,"Cheerfulness and visibility in signage.,Warmth and energy in branding.,Playfulness and creativity in design."
yellow green,#9ACD32,154,205,50,"Freshness and vitality in nature.,Vibrancy and brightness in visuals.,Growth and renewal in design."
dark olive green,#556B2F,85,107,47,"Masculinity and strength in fashion.,Earthiness and depth in palettes.,Timelessness and versatility in design."
olive drab,#6B8E23,107,142,35,"Functionality and reliability in workwear.,Camouflage and blending in outdoor settings.,Earthiness and naturalness in design."
lawn green,#7CFC00,124,252,0,"Freshness and vitality in landscapes.,Vibrancy and youthfulness in visuals.,Playfulness and energy in design."
chartreuse,#7FFF00,127,255,0,"Boldness and uniqueness in accents.,Vibrancy and brightness in palettes.,Modernity and creativity in design."
green yellow,#ADFF2F,173,255,47,"Brightness and visibility in safety.,Freshness and growth in nature.,Vibrancy and energy in design."
dark green,#006400,0,100,0,"Stability and reliability in branding.,Serenity and calmness in nature.,Timelessness and versatility in design."
green,#008000,0,128,0,"Harmony and balance in nature.,Freshness and renewal in visuals.,Growth and vitality in design."
forest green,#228B22,34,139,34,"Mystery and depth in landscapes.,Strength and reliability in fashion.,Timelessness and versatility in design."
lime,#00FF00,0,255,0,"Zestiness and freshness in visuals.,Playfulness and youthfulness in design.,Vibrancy and energy in palettes."
lime green,#32CD32,50,205,50,"Brightness and visibility in safety.,Freshness and vitality in visuals.,Growth and renewal in design."
light green,#90EE90,144,238,144,"Freshness and tranquility in interiors.,Softness and subtlety in palettes.,Versatility and adaptability in design."
pale green,#98FB98,152,251,152,"Softness and serenity in visuals.,Tranquility and calmness in décor.,Freshness and lightness in design."
dark sea green,#8FBC8F,143,188,143,"Serenity and tranquility in palettes.,Depth and richness in interiors.,Timelessness and reliability in design."
medium spring green,#00FA9A,0,250,154,"Freshness and vitality in nature.,Vibrancy and energy in visuals.,Playfulness and creativity in design."
spring green,#00FF7F,0,255,127,"Freshness and renewal in nature.,Vibrancy and brightness in visuals.,Growth and vitality in design."
sea green,#2E8B57,46,139,87,"Calmness and serenity in visuals.,Freshness and tranquility in palettes.,Versatility and adaptability in design."
medium aqua marine,#66CDAA,102,205,170,"Coolness and tranquility in nature.,Refreshment and clarity in visuals.,Modernity and creativity in design."
medium sea green,#3CB371,60,179,113,"Freshness and vitality in landscapes.,Versatility and reliability in palettes.,Timelessness and adaptability in design."
light sea green,#20B2AA,32,178,170,"Tranquility and serenity in visuals.,Freshness and softness in palettes.,Versatility and adaptability in design."
dark slate gray,#2F4F4F,47,79,79,"Sophistication and depth in interiors.,Timelessness and reliability in palettes.,Strength and stability in design."
teal,#008080,0,128,128,"Elegance and sophistication in fashion.,Depth and richness in palettes.,Timelessness and versatility in design."
dark cyan,#008B8B,0,139,139,"Boldness and vibrancy in accents.,Depth and richness in palettes.,Timelessness and adaptability in design."
aqua,#00FFFF,0,255,255,"Freshness and clarity in visuals.,Modernity and vibrancy in design.,Versatility and adaptability in palettes."
cyan,#00FFFF,0,255,255,"Cleanliness and accuracy in printing.,Coolness and serenity in visuals.,Modernity and reliability in design."
light cyan,#E0FFFF,224,255,255,"Softness and tranquility in visuals.,Freshness and lightness in palettes.,Versatility and adaptability in design."
dark turquoise,#00CED1,0,206,209,"Richness and depth in palettes.,Coolness and clarity in visuals.,Modernity and versatility in design."
turquoise,#40E0D0,64,224,208,"Refreshment and serenity in visuals.,Vibrancy and youthfulness in palettes.,Modernity and adaptability in design."
medium turquoise,#48D1CC,72,209,204,"Balance and stability in palettes.,Coolness and clarity in visuals.,Versatility and adaptability in design."
pale turquoise,#AFEEEE,175,238,238,"Softness and serenity in visuals.,Tranquility and freshness in palettes.,Versatility and adaptability in design."
aqua marine,#7FFFD4,127,255,212,"Freshness and clarity in visuals.,Modernity and vibrancy in design.,Versatility and adaptability in palettes."
powder blue,#B0E0E6,176,224,230,"Softness and serenity in interiors.,Freshness and lightness in palettes.,Versatility and adaptability in design."
cadet blue,#5F9EA0,95,158,160,"Coolness and sophistication in fashion.,Timelessness and reliability in palettes.,Versatility and adaptability in design."
steel blue,#4682B4,70,130,180,"Strength and reliability in materials.,Sophistication and depth in palettes.,Versatility and adaptability in design."
corn flower blue,#6495ED,100,149,237,"Freshness and vibrancy in visuals.,Softness and lightness in palettes.,Versatility and adaptability in design."
deep sky blue,#00BFFF,0,191,255,"Clarity and expansiveness in visuals.,Freshness and vibrancy in palettes.,Versatility and adaptability in design."
dodger blue,#1E90FF,30,144,255,"Boldness and vibrancy in accents.,Freshness and energy in palettes.,Versatility and adaptability in design."
light blue,#ADD8E6,173,216,230,"Softness and tranquility in interiors.,Freshness and lightness in palettes.,Versatility and adaptability in design."
sky blue,#87CEEB,135,206,235,"Calmness and serenity in visuals.,Freshness and lightness in palettes.,Versatility and adaptability in design."
light sky blue,#87CEFA,135,206,250,"Freshness and tranquility in visuals.,Softness and lightness in palettes.,Versatility and adaptability in design."
midnight blue,#191970,25,25,112,"Mystery and depth in nighttime scenes.,Richness and sophistication in palettes.,Versatility and adaptability in design."
navy,#000080,0,0,128,"Authority and professionalism in fashion.,Depth and richness in palettes.,Versatility and adaptability in design."
dark blue,#00008B,0,0,139,"Depth and stability in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
medium blue,#0000CD,0,0,205,"Versatility and reliability in fashion.,Depth and richness in palettes.,Versatility and adaptability in design."
blue,#0000FF,0,0,255,"Calmness and serenity in visuals.,Versatility and reliability in palettes.,Versatility and adaptability in design."
royal blue,#4169E1,65,105,225,"Majesty and regality in fashion.,Vibrancy and richness in palettes.,Versatility and adaptability in design."
blue violet,#8A2BE2,138,43,226,"Creativity and imagination in visuals.,Richness and depth in palettes.,Versatility and adaptability in design."
indigo,#4B0082,75,0,130,"Mystery and depth in visuals.,Richness and sophistication in palettes.,Versatility and adaptability in design."
dark slate blue,#483D8B,72,61,139,"Depth and richness in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
slate blue,#6A5ACD,106,90,205,"Softness and tranquility in visuals.,Depth and richness in palettes.,Versatility and adaptability in design."
medium slate blue,#7B68EE,123,104,238,"Softness and tranquility in visuals.,Depth and richness in palettes.,Versatility and adaptability in design."
medium purple,#9370DB,147,112,219,"Balance and harmony in visuals.,Depth and richness in palettes.,Versatility and adaptability in design."
dark magenta,#8B008B,139,0,139,"Intensity and drama in visuals.,Depth and richness in palettes.,Versatility and adaptability in design."
dark violet,#9400D3,148,0,211,"Mystery and depth in visuals.,Richness and sophistication in palettes.,Versatility and adaptability in design."
dark orchid,#9932CC,153,50,204,"Mystery and depth in visuals.,Richness and sophistication in palettes.,Versatility and adaptability in design."
medium orchid,#BA55D3,186,85,211,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
purple,#800080,128,0,128,"Creativity and imagination in visuals.,Richness and depth in palettes.,Versatility and adaptability in design."
thistle,#D8BFD8,216,191,216,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
plum,#DDA0DD,221,160,221,"Richness and depth in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
violet,#EE82EE,238,130,238,"Creativity and imagination in visuals.,Richness and depth in palettes.,Versatility and adaptability in design."
magenta,#FF00FF,255,0,255,"Creativity and imagination in visuals.,Richness and depth in palettes.,Versatility and adaptability in design."
orchid,#DA70D6,218,112,214,"Creativity and imagination in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
medium violet red,#C71585,199,21,133,"Intensity and drama in visuals.,Depth and richness in palettes.,Versatility and adaptability in design."
pale violet red,#DB7093,219,112,147,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
deep pink,#FF1493,255,20,147,"Intensity and drama in visuals.,Depth and richness in palettes.,Versatility and adaptability in design."
hot pink,#FF69B4,255,105,180,"Playfulness and vibrancy in visuals.,Depth and richness in palettes.,Versatility and adaptability in design."
light pink,#FFB6C1,255,182,193,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
pink,#FFC0CB,255,192,203,"Playfulness and vibrancy in visuals.,Softness and subtlety in palettes.,Versatility and adaptability in design."
antique white,#FAEBD7,250,235,215,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
beige,#F5F5DC,245,245,220,"Warmth and comfort in interiors.,Softness and subtlety in palettes.,Versatility and adaptability in design."
bisque,#FFE4C4,255,228,196,"Warmth and softness in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
blanched almond,#FFEBCD,255,235,205,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
wheat,#F5DEB3,245,222,179,"Warmth and softness in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
corn silk,#FFF8DC,255,248,220,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
lemon chiffon,#FFFACD,255,250,205,"Freshness and softness in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
light golden rod yellow,#FAFAD2,250,250,210,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
light yellow,#FFFFE0,255,255,224,"Freshness and softness in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
saddle brown,#8B4513,139,69,19,"Earthy and rustic in fashion.,Warmth and richness in palettes.,Timelessness and reliability in design."
sienna,#A0522D,160,82,45,"Earthy and rustic in fashion.,Warmth and richness in palettes.,Timelessness and reliability in design."
chocolate,#D2691E,210,105,30,"Warmth and richness in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
peru,#CD853F,205,133,63,"Earthy and rustic in fashion.,Warmth and richness in palettes.,Timelessness and reliability in design."
sandy brown,#F4A460,244,164,96,"Warmth and softness in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
burly wood,#DEB887,222,184,135,"Earthy and rustic in fashion.,Warmth and richness in palettes.,Timelessness and reliability in design."
tan,#D2B48C,210,180,140,"Earthy and rustic in fashion.,Warmth and richness in palettes.,Timelessness and reliability in design."
rosy brown,#BC8F8F,188,143,143,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
moccasin,#FFE4B5,255,228,181,"Warmth and softness in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
navajo white,#FFDEAD,255,222,173,"Warmth and softness in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
peach puff,#FFDAB9,255,218,185,"Warmth and softness in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
misty rose,#FFE4E1,255,228,225,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
lavender blush,#FFF0F5,255,240,245,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
linen,#FAF0E6,250,240,230,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
old lace,#FDF5E6,253,245,230,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
papaya whip,#FFEFD5,255,239,213,"Warmth and softness in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
sea shell,#FFF5EE,255,245,238,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
mint cream,#F5FFFA,245,255,250,"Freshness and softness in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
slate gray,#708090,112,128,144,"Sophistication and depth in interiors.,Timelessness and reliability in palettes.,Strength and stability in design."
light slate gray,#778899,119,136,153,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
light steel blue,#B0C4DE,176,196,222,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
lavender,#E6E6FA,230,230,250,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
floral white,#FFFAF0,255,250,240,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
alice blue,#F0F8FF,240,248,255,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
ghost white,#F8F8FF,248,248,255,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
honeydew,#F0FFF0,240,255,240,"Freshness and softness in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
ivory,#FFFFF0,255,255,240,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
azure,#F0FFFF,240,255,255,"Freshness and clarity in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
snow,#FFFAFA,255,250,250,"Softness and subtlety in visuals.,Sophistication and elegance in palettes.,Versatility and adaptability in design."
black,#000000,0,0,0,"Sophistication and formality in fashion.,Elegance and mystery in design.,Strength and authority in branding."
dim gray,#696969,105,105,105,"Sophistication and subtlety in visuals.,Strength and stability in palettes.,Timelessness and reliability in design."
gray,#808080,128,128,128,"Versatility and reliability in fashion.,Sophistication and subtlety in palettes.,Timelessness and adaptability in design."
dark gray,#A9A9A9,169,169,169,"Sophistication and subtlety in visuals.,Strength and stability in palettes.,Timelessness and reliability in design."
silver,#C0C0C0,192,192,192,"Elegance and refinement in fashion.,Sophistication and subtlety in palettes.,Timelessness and adaptability in design."
light gray,#D3D3D3,211,211,211,"Softness and subtlety in visuals.,Sophistication and subtlety in palettes.,Versatility and adaptability in design."
gainsboro,#DCDCDC,220,220,220,"Softness and subtlety in visuals.,Sophistication and subtlety in palettes.,Versatility and adaptability in design."
white smoke,#F5F5F5,245,245,245,"Softness and subtlety in visuals.,Sophistication and subtlety in palettes.,Versatility and adaptability in design."
white,#FFFFFF,255,255,255,"Purity and simplicity in visuals.,Cleanliness and sterility in palettes.,Versatility and adaptability in design."
